Hero,Win Rate,Pick Rate,KDA Ratio
Spectre,56.81%,8.58%,3.64
Necrophos,56.71%,23.78%,3.16
Zeus,56.54%,11.99%,3.66
Wraith King,56.11%,12.53%,3.39
Spirit Breaker,55.82%,16.90%,3.21
Underlord,55.67%,3.57%,2.61
Chaos Knight,55.22%,9.16%,2.58
Riki,54.54%,14.86%,3.26
Centaur Warrunner,54.49%,5.15%,2.7
Omniknight,54.02%,5.57%,2.44
Lich,53.92%,8.20%,2.86
Crystal Maiden,53.88%,10.81%,2.09
Abaddon,53.67%,4.07%,2.79
Phantom Assassin,53.54%,29.31%,2.72
Shadow Shaman,53.42%,11.57%,1.87
Bloodseeker,53.35%,23.58%,2.65
Ursa,53.07%,9.40%,2.69
Jakiro,52.86%,7.09%,2.27
Silencer,52.76%,10.43%,2.79
Sven,52.72%,18.05%,2.34
Axe,52.37%,17.16%,2.26
Pudge,52.20%,33.07%,2.35
Vengeful Spirit,51.92%,6.19%,2.17
Ancient Apparition,51.91%,5.26%,3.02
Warlock,51.86%,3.60%,2.56
Venomancer,51.75%,12.12%,2.63
Troll Warlord,51.62%,11.83%,2.42
Ogre Magi,51.53%,8.37%,2.34
Clockwerk,51.15%,5.68%,2.69
Phantom Lancer,51.12%,9.06%,2.59
Undying,51.04%,3.41%,2.6
Drow Ranger,50.96%,11.17%,2.15
Mirana,50.95%,18.19%,3.1
Elder Titan,50.93%,2.13%,2.35
Luna,50.81%,9.29%,2.31
Skywrath Mage,50.81%,7.24%,2.53
Viper,50.81%,16.32%,2.96
Earthshaker,50.77%,20.97%,2.37
Weaver,50.76%,11.05%,3.35
Tidehunter,50.74%,4.70%,2.78
Enigma,50.68%,5.69%,2.6
Sniper,50.67%,29.48%,2.92
Brewmaster,50.58%,2.20%,2.72
Slardar,50.48%,9.10%,2.32
Treant Protector,50.15%,3.51%,2.28
Visage,50.01%,1.96%,2.78
Witch Doctor,49.89%,6.54%,2.25
Dazzle,49.88%,4.90%,2.29
Dragon Knight,49.83%,6.90%,2.31
Winter Wyvern,49.63%,3.77%,2.29
Nyx Assassin,49.50%,7.82%,2.52
Night Stalker,49.46%,4.86%,2.84
Disruptor,49.44%,6.02%,2.44
Clinkz,49.25%,9.84%,2.53
Phoenix,49.17%,3.25%,2.57
Bounty Hunter,49.10%,9.45%,2.86
Anti-Mage,49.06%,19.92%,2.45
Windranger,49.04%,15.69%,2.94
Faceless Void,48.97%,12.05%,2.75
Sand King,48.72%,8.67%,2.48
Techies,48.62%,4.02%,1.8
Terrorblade,48.54%,4.46%,2.17
Bristleback,48.43%,11.92%,2.46
Keeper of the Light,48.38%,5.18%,2.47
Legion Commander,48.20%,21.87%,2.29
Pugna,48.06%,6.88%,2.23
Huskar,47.87%,9.10%,1.79
Slark,47.81%,13.42%,2.41
Storm Spirit,47.73%,7.54%,2.98
Juggernaut,47.66%,18.49%,2.36
Invoker,47.60%,28.04%,2.92
Outworld Devourer,47.53%,6.58%,2.58
Lion,47.36%,10.36%,1.89
Kunkka,47.33%,8.85%,2.64
Lycan,47.21%,2.78%,2.45
Shadow Fiend,47.18%,15.63%,2.55
Monkey King,47.17%,18.75%,2.32
Dark Seer,46.95%,2.44%,2.65
Gyrocopter,46.78%,3.46%,2.45
Lifestealer,46.64%,7.72%,2.59
Tinker,46.56%,9.35%,3.07
Doom,46.38%,4.95%,2.32
Razor,46.36%,4.16%,2.42
Morphling,46.27%,5.31%,2.82
Timbersaw,46.23%,6.35%,2.2
Tiny,46.12%,7.82%,2.29
Death Prophet,46.12%,4.32%,2.22
Medusa,46.02%,5.22%,2.91
Shadow Demon,46.00%,2.39%,2.17
Bane,45.94%,2.78%,2.28
Ember Spirit,45.82%,7.02%,2.85
Rubick,45.64%,9.95%,2.04
Leshrac,45.46%,2.03%,1.93
Arc Warden,45.17%,2.92%,2.42
Meepo,45.12%,4.49%,2.08
Lina,45.08%,9.68%,2.16
Templar Assassin,45.07%,5.95%,2.47
Enchantress,44.38%,3.77%,2.63
Magnus,44.25%,7.11%,2.25
Beastmaster,44.05%,1.69%,2
Naga Siren,44.05%,2.07%,2.55
Queen of Pain,43.77%,7.77%,2.84
Alchemist,43.72%,6.50%,2.08
Earth Spirit,43.14%,3.58%,2.01
Nature's Prophet,43.13%,8.90%,1.92
Batrider,43.01%,2.53%,2.35
Puck,42.61%,6.02%,2.78
Chen,42.44%,1.07%,2.07
Tusk,42.31%,4.37%,2.16
Oracle,41.97%,2.05%,2.28
Broodmother,41.93%,3.22%,1.82
Lone Druid,38.68%,2.24%,2.08
Io,37.96%,1.83%,1.73
